Country,Number of infections in 2023,Week number
Czechia,1977,38
Czechia,1913,39
Czechia,1994,40
Czechia,2141,41
Czechia,2149,42
Czechia,2154,43
Czechia,..,44
Denmark,1364,1
Denmark,1297,2
Denmark,1186,3
Denmark,1146,4
Denmark,1169,5
Denmark,1122,6
Denmark,1150,7
Denmark,1180,8
Denmark,1123,9
Denmark,1199,10
Denmark,1174,11
Denmark,1135,12
Denmark,1105,13
Denmark,1166,14
Denmark,1130,15
Denmark,1139,16
Denmark,1114,17
Denmark,1094,18
Denmark,1140,19
Denmark,1053,20
Denmark,1014,21
Denmark,991,22
Denmark,1017,23
Denmark,1034,24
Denmark,1071,25
Denmark,942,26
Denmark,1073,27
Denmark,1072,28
Denmark,999,29
Denmark,1024,30
Denmark,1018,31
Denmark,1009,32
Denmark,1011,33
Denmark,977,34
Denmark,1003,35
Denmark,1095,36
Denmark,1031,37
Denmark,993,38
Denmark,1051,39
Denmark,1036,40
Denmark,1073,41
Denmark,1076,42
Denmark,1126,43
Denmark,1186,44
Estonia,392,1
Estonia,412,2
Estonia,376,3
Estonia,332,4
Estonia,323,5
Estonia,314,6
Estonia,336,7
Estonia,298,8
Estonia,294,9
Estonia,315,10
Estonia,295,11
Estonia,290,12
Estonia,322,13
Estonia,286,14
Estonia,305,15
Estonia,335,16
Estonia,320,17
Estonia,310,18
Estonia,289,19
Estonia,302,20
Estonia,266,21
Estonia,298,22
Estonia,311,23
Estonia,311,24
Estonia,321,25
Estonia,253,26
Estonia,278,27
Estonia,280,28
Estonia,292,29
Estonia,257,30
Estonia,271,31
Estonia,257,32
Estonia,292,33
Estonia,271,34
Estonia,275,35
Estonia,294,36
Estonia,254,37
Estonia,274,38
Estonia,274,39
Estonia,264,40
Estonia,319,41
Estonia,341,42
Estonia,316,43
Estonia,311,44
Finland,1368,1
Finland,1330,2
Finland,1241,3
Finland,1197,4
Finland,1196,5
Finland,1152,6
Finland,1148,7
Finland,1153,8
Finland,1104,9
Finland,1084,10
Finland,1106,11
Finland,1070,12
Finland,1149,13
Finland,1195,14
Finland,1159,15
Finland,1226,16
Finland,1136,17
Finland,1140,18
Finland,1140,19
Finland,1105,20
Finland,1120,21
Finland,1092,22
Finland,1105,23
Finland,1153,24
Finland,1049,25
Finland,1095,26
Finland,989,27
Finland,1040,28
Finland,1047,29
Finland,949,30
Finland,1026,31
Finland,1063,32
Finland,1011,33
Finland,1049,34
Finland,1004,35
Finland,1116,36
Finland,1105,37
Finland,1121,38
Finland,1118,39
Finland,1143,40
Finland,1197,41
Finland,1201,42
Finland,1237,43
Finland,1341,44
France,15768,1
France,14414,2
France,13827,3
France,13613,4
France,13250,5
France,13186,6
France,12979,7
France,12781,8
France,12772,9
France,12975,10
France,12587,11
France,11971,12
France,11876,13
France,11909,14
France,11981,15
France,12181,16
France,12072,17
France,11692,18
France,11254,19
France,11309,20
France,11709,21
France,11543,22
France,11631,23
France,11224,24
France,11012,25
France,10445,26
France,10889,27
France,10931,28
France,10749,29
France,10841,30
France,10463,31
France,11337,32
France,11409,33
France,11796,34
France,11335,35
France,11754,36
France,11301,37
France,10998,38
France,11479,39
France,11556,40
France,11823,41
France,12102,42
France,12573,43
France,12257,44
Germany,25382,1
Germany,22688,2
Germany,21209,3
Germany,20616,4
